12:00:01 AM pgpgin/s
12:10:23 AM 139.47
12:20:08 AM 0.00
12:30:10 AM 0.00
12:40:01 AM 0.23
12:50:14 AM 0.08
01:00:00 AM 5.51
01:10:34 AM 0.00
01:20:01 AM 0.00
01:30:00 AM 0.00
01:40:07 AM 0.00
01:50:04 AM 1.34
02:00:01 AM 5.73
02:10:00 AM 34.86
02:20:04 AM 0.15
02:30:04 AM 12.83
02:40:01 AM 0.00
02:50:04 AM 0.02
03:00:09 AM 20.47
03:10:03 AM 3.14
03:20:01 AM 28.16
10:38:59 AM LINUX
10:40:00 AM pgpgin/s
10:50:04 AM 169.37
11:03:10 AM 1.31
11:10:08 AM 1732.54
11:20:03 AM 0.16
11:30:27 AM 0.02
11:40:27 AM 13.43
11:50:09 AM 0.59
12:00:27 PM 0.02
12:10:16 PM 6.98
12:20:09 PM 0.65
12:30:03 PM 0.35
12:40:23 PM 0.09
12:50:27 PM 0.04
01:00:27 PM 5.43
01:10:07 PM 0.54
01:20:22 PM 0.02
06:45:56 PM 0.01
06:50:12 PM 171.35
07:00:10 PM 15.84
07:10:02 PM 135.65
07:20:02 PM 3.37
08:06:52 PM 0.35
08:10:13 PM 0.00
